Nome applicazione;Open Data Index;Dati considerati utili al cittadino ;Dati considerati utili alle aziende;Dati considerati utili alle università;Dati già pubblicati;Esportabilità dei dati considerati utili al cittadino;Esportabilità dei dati considerati utili alle aziende;Esportabilità dei dati considerati utili alle università;Formato di esportazione dei dati utili al cittadino;Formato di esportazione dei dati utili alle aziende;Formato di esportazione dei dati utili alle università;Descrizione dei dati considerati utili al cittadino;Descrizione dei dati considerati utili alle aziende;Descrizione dei dati considerati utili alle università;Qualità dei dati considerati utili al cittadino;Qualità dei dati considerati utili alle aziende;Qualità dei dati considerati utili alle università;Tempestività dei dati considerati utili alle aziende;Tempestività dei dati considerati utili alle università;Tempestività dei dati considerati utili al cittadino;Tot dati considerati utili al cittadino ;Tot dati considerati utili alle aziende ;Tot dati considerati utili alle università ;Tot dati pubblicati e utilità dei dati potenzialmente disp;Tot esportabilità dei dati considerati utili;Tot formato di esportazione dei dati utili;Tot qualità dei dati;Tot tempestività di aggiornamento dei dati
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica ISTAT dei prezzi al consumo;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dell'attività edilizia;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica del movimento migratorio della popolazione residente;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei matrimoni;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica dei divorzi;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Rilevazione statistica degli iscritti in anagrafe per nascita;97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Gestione Interventi (Manutenzione);97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Gestione Interventi (Manutenzione);97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Gestione Interventi (Manutenzione);97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Gestione Interventi (Manutenzione);97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Gestione Interventi (Manutenzione);97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Gestione Interventi (Manutenzione);97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Gestione Interventi (Manutenzione);97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Gestione Interventi (Manutenzione);97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Gestione Interventi (Manutenzione);97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
Gestione Interventi (Manutenzione);97;3;3;3;28;3;3;3;2;2;2;7;7;7;5;5;5;3;3;3;10;10;10;58;9;6;15;9
